forecast_month,actual_net_revenue,forecast_net_revenue,error,abs_error,squared_error,ape
2025-01,1521877.18,1385911.59,135965.58999999985,135965.58999999985,18486641664.04806,8.9340711449527
2025-02,1738075.29,1680416.99,57658.30000000005,57658.30000000005,3324479558.8900056,3.3173649226668456
2025-03,2077924.19,1921063.06,156861.1299999999,156861.1299999999,24605414104.876865,7.548934208230181
2025-04,1907958.09,1874251.15,33706.94000000018,33706.94000000018,1136157804.163612,1.7666499162987472
2025-05,2252591.87,2070015.23,182576.64000000013,182576.64000000013,33334229473.689648,8.105180633542822
2025-06,1989500.38,1904552.25,84948.12999999989,84948.12999999989,7216184790.4968815,4.269822255575537
2025-07,1863801.17,1738955.14,124846.03000000003,124846.03000000003,15586531206.760906,6.698462905246489
2025-08,2159331.01,2055164.11,104166.89999999967,104166.89999999967,10850743055.609932,4.824035755407397
2025-09,1660709.11,1626640.31,34068.80000000005,34068.80000000005,1160683133.4400032,2.0514610171554994
2025-10,1794402.05,1715950.5,78451.55000000005,78451.55000000005,6154645697.402508,4.372016293672872
2025-11,2093117.53,1953663.04,139454.49,139454.49,19447554781.1601,6.66252553911772
2025-12,2860558.48,2748743.55,111814.93000000017,111814.93000000017,12502578570.904938,3.9088496453321997
